field_path,coverage_pct,present_docs,types_seen,array_elem_types,examples
_id,100.0,50000,ObjectId:50000,,"""68054541c8b344435d8d8481"" | ""68054ef7c8b344435d8e7db2"" | ""68053c33c8b344435d8c74e0"""
addDate,100.0,50000,string:50000,,"""2020-01-23"" | ""2021-03-16"" | ""2018-12-05"""
altitudeInMeters,1.964,982,"null:49018, integer:979, number:3",,null | 0 | 20
altitudeInMeters2,0.176,88,"null:49912, integer:88",,null | 0
biosampleGoldId,100.0,50000,string:50000,,"""Gb0247653"" | ""Gb0281188"" | ""Gb0199039"""
biosampleName,100.0,50000,string:50000,,"""Human infant stool microbial community from Finland - 3113669"" | ""Fecal microbial communities from ankylosing spondylitis patient in Hangzhou, China - AS65"" | ""Panda fecal microbial communities from Baoxing, China - WP15.1"""
contacts,100.0,50000,array:50000,object:109270,"[] | [{""email"": ""emily.graham@pnnl.gov"", ""jgiSsoId"": ""52018"", ""name"": ""Emily Graham"", ""roles"": [""other""]}, {""email"": ""jane… | [{""email"": ""shallam@interchange.ubc.ca"", ""jgiSsoId"": ""1827"", ""name"": ""Steven Hallam"", ""roles"": [""PI""]}, {""email"": ""tb…"
contacts[].email,31.866,15933,string:109270,,"""emily.graham@pnnl.gov"" | ""janet.jansson@pnnl.gov"" | ""shallam@interchange.ubc.ca"""
contacts[].jgiSsoId,31.866,15933,string:109270,,"""52018"" | ""62"" | ""1827"""
contacts[].name,31.866,15933,string:109270,,"""Emily Graham"" | ""Janet Jansson"" | ""Steven Hallam"""
contacts[].roles,31.866,15933,array:109270,string:120700,"[""other""] | [""PI""] | [""sample contact""]"
dateCollected,78.488,39244,"string:39244, null:10756",,"null | ""2015-04-01"" | ""2013-10-30"""
depthInMeters,27.578,13789,"null:36211, integer:10686, number:3103",,null | 10 | 4
depthInMeters2,6.478,3239,"null:46761, number:2917, integer:322",,null | 0.5 | 0.15
description,92.132,46066,"string:46066, null:3934",,"""Human infant stool microbial community from Finland"" | ""Fecal microbial communities from ankylosing spondylitis (AS) patient in Hangzhou, China"" | ""Panda fecal microbial communities from Baoxing, China"""
ecosystem,99.998,49999,"string:49999, null:1",,"""Host-associated"" | ""Environmental"" | ""Engineered"""
ecosystemCategory,99.998,49999,"string:49999, null:1",,"""Mammals: Human"" | ""Mammals"" | ""Aquatic"""
ecosystemPathId,100.0,50000,integer:50000,,3920 | 4104 | 4009
ecosystemSubtype,99.998,49999,"string:49999, null:1",,"""Large intestine"" | ""Oceanic"" | ""Unclassified"""
ecosystemType,99.998,49999,"string:49999, null:1",,"""Digestive system"" | ""Marine"" | ""Sewage"""
elevationInMeters,26.828,13414,"null:36586, integer:11671, number:1743",,null | 1553 | 2245
elevationInMeters2,0.136,68,"null:49932, integer:68",,null | 600 | 1015
envoBroadScale,24.134,12067,"null:37933, object:12067",,"null | {""id"": ""ENVO_01000249"", ""label"": ""urban biome""} | {""id"": ""ENVO_00000447"", ""label"": ""marine biome""}"
envoBroadScale.id,24.134,12067,string:12067,,"""ENVO_01000249"" | ""ENVO_00000447"" | ""ENVO_00002030"""
envoBroadScale.label,24.134,12067,string:12067,,"""urban biome"" | ""marine biome"" | ""aquatic biome"""
envoLocalScale,26.126,13063,"null:36937, object:13063",,"null | {""id"": ""ENVO_01001002"", ""label"": ""animal-associated environment""} | {""id"": ""ENVO_00000137"", ""label"": ""coastal inlet""}"
envoLocalScale.id,26.126,13063,string:13063,,"""ENVO_01001002"" | ""ENVO_00000137"" | ""ENVO_00000051"""
envoLocalScale.label,26.126,13063,string:13063,,"""animal-associated environment"" | ""coastal inlet"" | ""hot spring"""
envoMedium,26.262,13131,"null:36869, object:13131",,"null | {""id"": ""ENVO_00002003"", ""label"": ""fecal material""} | {""id"": ""ENVO_00002149"", ""label"": ""sea water""}"
envoMedium.id,26.262,13131,string:13131,,"""ENVO_00002003"" | ""ENVO_00002149"" | ""ENVO_00002007"""
envoMedium.label,26.262,13131,string:13131,,"""fecal material"" | ""sea water"" | ""sediment"""
geoLocation,99.408,49704,"string:49704, null:296",,"""Finland"" | ""China: Hangzhou, Zhejiang"" | ""China: Baoxing"""
geographicLocation,99.408,49704,"string:49704, null:296",,"""Finland"" | ""China: Hangzhou, Zhejiang"" | ""China: Baoxing"""
habitat,99.996,49998,"string:49998, null:2",,"""Human infant stool"" | ""Fecal"" | ""Panda fecal"""
hostDiseases,100.0,50000,array:50000,string:148,"[] | [""Ulcerative colitis""] | [""Crohn's disease""]"
hostGender,2.664,1332,"null:48668, string:1332",,"null | ""Female"" | ""Male"""
hostName,45.076,22538,"null:27462, string:22538",,"""Homo sapiens"" | ""Panda"" | null"
hostNcbiTaxid,45.162,22581,"null:27419, integer:22581",,9606 | 212257 | null
isoCountry,98.34,49170,"string:49170, null:830",,"""Finland"" | ""China"" | ""USA"""
latitude,98.136,49068,"number:48378, null:932, integer:690",,60.1811108 | 30.3 | 30.36465
longhurst,0.444,222,"null:49778, object:222",,"null | {""code"": ""NECS"", ""description"": ""Coastal - NE Atlantic Shelves Province""} | {""code"": ""CCAL"", ""description"": ""Coastal - California Upwelling Coastal Province""}"
longhurst.code,0.444,222,string:222,,"""NECS"" | ""CCAL"" | ""APLR"""
longhurst.description,0.444,222,string:222,,"""Coastal - NE Atlantic Shelves Province"" | ""Coastal - California Upwelling Coastal Province"" | ""Polar - Austral Polar Province"""
longitude,98.136,49068,"number:48217, null:932, integer:851",,24.9203855 | 120.2 | 102.4465
mixsPackage,48.198,24099,"null:25901, string:24099",,"""Standard"" | null | ""Water Package"""
modDate,63.6,31800,"string:31800, null:18200",,"null | ""2018-12-06"" | ""2021-08-11"""
ncbiTaxId,93.2,46600,"integer:46600, null:3400",,null | 408170 | 749906
ncbiTaxName,93.2,46600,"string:46600, null:3400",,"null | ""human gut metagenome"" | ""gut metagenome"""
nitrateConcentration,1.02,510,"null:49490, string:510",,"null | ""0.32 uM"" | ""0"""
oxygenConcentration,0.926,463,"null:49537, string:463",,"null | ""4414.8789"" | ""209.243118"""
ph,1.792,896,"null:49104, string:896",,"null | ""7.08"" | ""4.69-6.35"""
pressure,0.218,109,"null:49891, string:109",,"null | ""14532 kPa"" | ""0.9651atm"""
salinity,0.18,90,"null:49910, string:90",,"null | ""Euryhaline"" | ""Halophile"""
salinityConcentration,0.968,484,"null:49516, string:484",,"null | ""35.4485"" | ""33.728512"""
sampleBodySite,4.84,2420,"null:47580, string:2420",,"""Gastrointestinal tract"" | null | ""Lung"""
sampleBodySubsite,2.966,1483,"null:48517, string:1483",,"""Rectal"" | null | ""Stomach"""
sampleCollectionSite,99.992,49996,"string:49996, null:4",,"""Human infant stool"" | ""human feces"" | ""Feces"""
sampleCollectionTemperature,2.69,1345,"null:48655, string:1345",,"null | ""85.9 C"" | ""20 C"""
specificEcosystem,99.994,49997,"string:49997, null:3",,"""Fecal"" | ""Sediment"" | ""Unclassified"""
subsurfaceDepthInMeters,0.624,312,"null:49688, number:172, integer:140",,null | 57 | 0.08
subsurfaceDepthInMeters2,0.248,124,"null:49876, number:118, integer:6",,null | 0.09 | 0.1
visitNum,0.354,177,"null:49823, integer:177",,null | 1 | 2
